source_ip,window_start,first_seen,last_seen,connection_count,failed_login_count,auth_failure_count,invalid_user_count,accepted_login_count,command_count,suspicious_command_count,unique_users,unique_passwords,source_port_count,failure_rate,invalid_user_rate,commands_per_accepted,success_after_fail,burst_score,pseudo_label,pseudo_reason
0.53.248.184,2013-12-18 20:30:00,2013-12-18 20:32:09,2013-12-18 20:34:54,33,130,14,0,5,0,0,2,39,47,0.9629629629629629,0.0,0.0,0.034482758620689655,59.27272727272727,1,brute_force+connection_burst
0.53.248.184,2013-12-20 05:00:00,2013-12-20 05:05:35,2013-12-20 05:06:05,0,9,3,0,0,0,0,1,0,3,1.0,0.0,0.0,0.0,9.0,1,brute_force
0.53.248.184,2013-12-20 06:00:00,2013-12-20 06:00:11,2013-12-20 06:07:28,13,58,14,0,8,0,0,2,7,26,0.8787878787878788,0.0,0.0,0.1095890410958904,9.748283752860413,1,brute_force+connection_burst
0.53.248.198,2013-12-16 12:20:00,2013-12-16 12:20:06,2013-12-16 12:22:28,0,33,11,0,0,0,0,1,0,11,1.0,0.0,0.0,0.0,13.943661971830986,1,brute_force
0.53.248.198,2013-12-16 13:10:00,2013-12-16 13:14:59,2013-12-16 13:19:51,8,14,0,0,5,0,0,2,8,9,0.7368421052631579,0.0,0.0,0.3333333333333333,4.52054794520548,1,brute_force
0.53.248.198,2013-12-16 13:20:00,2013-12-16 13:20:04,2013-12-16 13:20:18,6,13,0,0,2,0,0,1,8,6,0.8666666666666667,0.0,0.0,0.14285714285714285,19.0,1,brute_force
1.165.218.131,2013-12-16 19:40:00,2013-12-16 19:44:04,2013-12-16 19:44:04,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
1.175.40.127,2013-12-01 18:30:00,2013-12-01 18:38:58,2013-12-01 18:38:58,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
1.175.40.127,2013-12-01 18:40:00,2013-12-01 18:40:42,2013-12-01 18:42:40,4,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,2.0338983050847457,0,low_activity
1.55.140.166,2013-11-20 04:50:00,2013-11-20 04:56:36,2013-11-20 04:59:59,178,167,3,6,10,0,0,39,62,182,0.943502824858757,0.03468208092485549,0.0,0.05847953216374269,101.9704433497537,1,brute_force+user_enumeration+connection_burst
1.55.140.166,2013-11-20 05:00:00,2013-11-20 05:00:00,2013-11-20 05:06:22,340,335,0,0,5,0,0,46,112,340,0.9852941176470589,0.0,0.0,0.01488095238095238,106.02094240837697,1,brute_force+user_enumeration+connection_burst
1.67.113.187,2013-11-20 13:00:00,2013-11-20 13:06:47,2013-11-20 13:09:59,23,58,41,24,4,0,0,2,4,64,0.9354838709677419,0.2926829268292683,0.0,0.04,25.3125,1,brute_force+user_enumeration+connection_burst
1.67.113.187,2013-11-20 13:10:00,2013-11-20 13:10:00,2013-11-20 13:10:36,9,16,9,16,4,0,0,2,3,20,0.8,0.5,0.0,0.15384615384615385,25.0,1,brute_force+user_enumeration
1.74.161.247,2013-12-15 03:00:00,2013-12-15 03:06:52,2013-12-15 03:09:34,1,29,29,14,0,0,0,1,0,29,1.0,0.32558139534883723,0.0,0.0,11.11111111111111,1,brute_force+user_enumeration
1.74.161.247,2013-12-15 04:00:00,2013-12-15 04:01:49,2013-12-15 04:09:59,442,472,40,16,0,0,0,22,124,479,1.0,0.03278688524590164,0.0,0.0,111.91836734693878,1,brute_force+user_enumeration+connection_burst
1.74.161.247,2013-12-15 04:10:00,2013-12-15 04:10:00,2013-12-15 04:19:59,783,776,1,0,1,0,0,17,254,778,0.9987129987129987,0.0,0.0,0.0012853470437017994,156.1602671118531,1,brute_force+user_enumeration+connection_burst
1.74.161.247,2013-12-15 04:20:00,2013-12-15 04:20:00,2013-12-15 04:27:29,339,338,0,0,0,0,0,6,153,340,1.0,0.0,0.0,0.0,90.46770601336303,1,brute_force+user_enumeration+connection_burst
1.86.76.139,2013-11-04 18:40:00,2013-11-04 18:45:12,2013-11-04 18:45:32,3,2,0,0,0,0,0,2,2,3,1.0,0.0,0.0,0.0,5.0,0,low_activity
1.86.76.139,2013-11-08 21:10:00,2013-11-08 21:13:56,2013-11-08 21:16:10,12,17,7,2,0,0,0,4,6,19,1.0,0.10526315789473684,0.0,0.0,12.985074626865671,1,brute_force+connection_burst
1.86.76.139,2013-11-20 04:50:00,2013-11-20 04:54:09,2013-11-20 04:59:59,342,381,53,44,7,0,0,15,93,392,0.9819587628865979,0.10352941176470588,0.0,0.016091954022988506,123.94285714285715,1,brute_force+user_enumeration+connection_burst
1.86.76.139,2013-11-20 05:00:00,2013-11-20 05:00:01,2013-11-20 05:04:15,7,66,57,2,0,0,0,3,7,66,1.0,0.029411764705882353,0.0,0.0,17.244094488188978,1,brute_force
101.207.117.180,2013-11-20 01:40:00,2013-11-20 01:44:02,2013-11-20 01:49:56,35,27,3,6,0,0,0,4,10,37,1.0,0.18181818181818182,0.0,0.0,10.508474576271185,1,brute_force+user_enumeration+connection_burst
101.207.117.180,2013-11-20 01:50:00,2013-11-20 01:50:03,2013-11-20 01:52:47,32,35,6,12,0,0,0,10,20,38,1.0,0.2553191489361702,0.0,0.0,24.51219512195122,1,brute_force+user_enumeration+connection_burst
102.101.245.146,2013-12-15 04:40:00,2013-12-15 04:43:34,2013-12-15 04:45:08,0,25,25,0,1,0,0,1,0,26,0.9615384615384616,0.0,0.0,0.0196078431372549,15.957446808510639,1,brute_force
102.101.245.146,2013-12-15 05:30:00,2013-12-15 05:38:32,2013-12-15 05:39:59,54,52,0,0,1,0,0,3,27,54,0.9811320754716981,0.0,0.0,0.018867924528301886,73.10344827586208,1,brute_force+connection_burst
102.101.245.146,2013-12-15 05:40:00,2013-12-15 05:40:01,2013-12-15 05:44:55,91,144,58,8,3,0,0,4,27,149,0.9795918367346939,0.05263157894736842,0.0,0.014778325123152709,47.95918367346938,1,brute_force+user_enumeration+connection_burst
102.105.53.36,2013-11-20 10:20:00,2013-11-20 10:20:48,2013-11-20 10:29:59,11,1,1,2,0,0,0,1,0,9,1.0,0.6666666666666666,0.0,0.0,1.306715063520871,0,low_activity
102.105.53.36,2013-11-20 10:30:00,2013-11-20 10:30:03,2013-11-20 10:30:26,2,1,0,0,0,0,0,1,1,3,1.0,0.0,0.0,0.0,3.0,0,low_activity
102.106.163.116,2013-12-15 20:50:00,2013-12-15 20:52:34,2013-12-15 20:52:36,1,1,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,2.0,0,low_activity
102.106.163.116,2013-12-15 21:40:00,2013-12-15 21:47:19,2013-12-15 21:49:34,8,5,1,0,2,0,0,2,3,9,0.7142857142857143,0.0,0.0,0.2857142857142857,5.777777777777778,0,low_activity
102.106.163.116,2013-12-15 21:50:00,2013-12-15 21:51:52,2013-12-15 21:52:33,9,4,0,0,3,0,0,1,3,8,0.5714285714285714,0.0,0.0,0.6,13.0,0,low_activity
102.106.163.116,2013-12-17 16:40:00,2013-12-17 16:40:24,2013-12-17 16:41:32,1,11,11,0,0,0,0,1,0,11,1.0,0.0,0.0,0.0,10.588235294117647,1,brute_force
102.106.163.116,2013-12-17 17:30:00,2013-12-17 17:35:08,2013-12-17 17:39:55,11,31,25,4,3,0,0,2,3,36,0.9117647058823529,0.11428571428571428,0.0,0.05263157894736842,8.78048780487805,1,brute_force+user_enumeration
102.106.163.116,2013-12-17 17:40:00,2013-12-17 17:40:00,2013-12-17 17:46:32,5,66,64,6,2,0,0,2,3,69,0.9705882352941176,0.08333333333333333,0.0,0.015267175572519083,10.86734693877551,1,brute_force+user_enumeration
104.142.40.125,2013-11-24 20:10:00,2013-11-24 20:15:32,2013-11-24 20:19:03,10,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,2.843601895734597,0,low_activity
104.142.40.125,2013-11-24 20:20:00,2013-11-24 20:21:36,2013-11-24 20:27:22,164,158,2,4,5,0,0,18,24,165,0.9693251533742331,0.024691358024691357,0.0,0.031055900621118012,55.83815028901734,1,brute_force+user_enumeration+connection_burst
105.41.111.187,2013-12-18 20:20:00,2013-12-18 20:26:01,2013-12-18 20:26:10,1,0,0,0,1,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,0,low_activity
106.138.75.171,2013-11-18 18:50:00,2013-11-18 18:54:13,2013-11-18 18:59:38,26,25,10,20,0,0,0,6,5,33,1.0,0.4444444444444444,0.0,0.0,9.415384615384616,1,brute_force+user_enumeration+connection_burst
106.138.75.171,2013-11-18 19:00:00,2013-11-18 19:01:11,2013-11-18 19:02:17,25,30,5,10,0,0,0,6,5,30,1.0,0.25,0.0,0.0,49.99999999999999,1,brute_force+user_enumeration+connection_burst
106.39.234.12,2013-12-15 15:00:00,2013-12-15 15:05:05,2013-12-15 15:05:05,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
106.39.234.12,2013-12-15 15:10:00,2013-12-15 15:10:13,2013-12-15 15:10:13,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
106.39.234.12,2013-12-15 16:00:00,2013-12-15 16:00:04,2013-12-15 16:09:45,17,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,1.7555938037865748,1,connection_burst
106.39.234.12,2013-12-15 16:10:00,2013-12-15 16:10:03,2013-12-15 16:10:03,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,3.0,0,low_activity
107.44.244.103,2013-11-07 04:20:00,2013-11-07 04:21:52,2013-11-07 04:22:02,1,0,0,0,1,2,0,1,1,1,0.0,0.0,2.0,1.0,3.0,1,honeypot_session
107.83.141.45,2013-11-07 06:50:00,2013-11-07 06:50:04,2013-11-07 06:59:57,3,49,0,0,0,0,0,1,38,3,1.0,0.0,0.0,0.0,5.261382799325464,1,brute_force
107.83.141.45,2013-11-07 07:00:00,2013-11-07 07:00:02,2013-11-07 07:09:57,5,87,0,0,0,0,0,1,87,6,1.0,0.0,0.0,0.0,9.277310924369749,1,brute_force
107.83.141.45,2013-11-07 07:10:00,2013-11-07 07:10:04,2013-11-07 07:12:20,1,23,0,0,0,0,0,1,23,2,1.0,0.0,0.0,0.0,10.588235294117647,1,brute_force
109.217.158.181,2013-11-11 14:00:00,2013-11-11 14:01:25,2013-11-11 14:01:25,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-11 17:40:00,2013-11-11 17:47:01,2013-11-11 17:47:01,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-12 00:10:00,2013-11-12 00:17:45,2013-11-12 00:17:45,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-12 04:20:00,2013-11-12 04:29:32,2013-11-12 04:29:32,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-12 19:40:00,2013-11-12 19:42:07,2013-11-12 19:42:07,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-13 02:30:00,2013-11-13 02:39:06,2013-11-13 02:39:06,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.217.158.181,2013-11-13 03:10:00,2013-11-13 03:13:12,2013-11-13 03:13:12,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
109.67.119.232,2013-11-24 09:30:00,2013-11-24 09:30:43,2013-11-24 09:39:59,173,173,0,0,0,0,0,1,171,173,1.0,0.0,0.0,0.0,37.33812949640287,1,brute_force+connection_burst
109.67.119.232,2013-11-24 09:40:00,2013-11-24 09:40:01,2013-11-24 09:49:59,186,185,0,0,0,0,0,1,170,184,1.0,0.0,0.0,0.0,37.22408026755853,1,brute_force+connection_burst
109.67.119.232,2013-11-24 09:50:00,2013-11-24 09:50:00,2013-11-24 09:51:32,29,29,0,0,0,0,0,1,29,29,1.0,0.0,0.0,0.0,37.826086956521735,1,brute_force+connection_burst
109.67.51.173,2013-12-21 00:30:00,2013-12-21 00:32:35,2013-12-21 00:32:59,1,5,0,8,0,0,0,1,0,5,1.0,0.6153846153846154,0.0,0.0,6.0,1,user_enumeration
109.67.51.173,2013-12-21 01:30:00,2013-12-21 01:32:32,2013-12-21 01:39:58,123,122,0,0,0,0,0,35,72,123,1.0,0.0,0.0,0.0,32.95964125560538,1,brute_force+user_enumeration+connection_burst
109.67.51.173,2013-12-21 01:40:00,2013-12-21 01:40:00,2013-12-21 01:49:59,163,163,0,0,0,0,0,86,116,162,1.0,0.0,0.0,0.0,32.65442404006678,1,brute_force+user_enumeration+connection_burst
109.67.51.173,2013-12-21 01:50:00,2013-12-21 01:50:01,2013-12-21 01:54:00,66,65,0,0,1,0,0,18,33,65,0.9848484848484849,0.0,0.0,0.015151515151515152,32.88702928870293,1,brute_force+user_enumeration+connection_burst
112.15.56.1,2013-12-27 09:20:00,2013-12-27 09:27:22,2013-12-27 09:27:44,1,3,3,0,0,0,0,1,0,3,1.0,0.0,0.0,0.0,4.0,0,low_activity
112.15.56.1,2013-12-27 10:20:00,2013-12-27 10:27:14,2013-12-27 10:27:32,4,3,0,0,1,0,0,1,4,4,0.75,0.0,0.0,0.25,7.0,0,low_activity
112.15.9.173,2013-11-26 16:00:00,2013-11-26 16:08:50,2013-11-26 16:09:40,1,26,3,0,1,0,0,2,9,4,0.9629629629629629,0.0,0.0,0.03333333333333333,27.0,1,brute_force
112.15.9.173,2013-11-26 16:10:00,2013-11-26 16:10:51,2013-11-26 16:12:38,5,33,1,0,6,0,0,2,9,6,0.8461538461538461,0.0,0.0,0.17142857142857143,21.30841121495327,1,brute_force
112.204.102.250,2013-11-15 09:30:00,2013-11-15 09:33:53,2013-11-15 09:39:51,8,5,5,8,0,0,0,1,0,11,1.0,0.6153846153846154,0.0,0.0,2.17877094972067,1,user_enumeration
112.204.102.250,2013-11-15 09:40:00,2013-11-15 09:41:02,2013-11-15 09:42:22,10,10,2,4,0,0,0,6,5,12,1.0,0.2857142857142857,0.0,0.0,15.0,1,brute_force+user_enumeration
112.49.242.183,2013-11-20 04:10:00,2013-11-20 04:10:28,2013-11-20 04:10:28,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.104.61.125,2013-11-20 05:10:00,2013-11-20 05:17:13,2013-11-20 05:19:54,20,18,4,6,5,0,0,5,5,24,0.782608695652174,0.25,0.0,0.21739130434782608,14.161490683229815,1,brute_force+user_enumeration+connection_burst
113.104.61.125,2013-11-20 05:20:00,2013-11-20 05:20:20,2013-11-20 05:20:42,20,16,0,0,4,0,0,4,5,20,0.8,0.0,0.0,0.23529411764705882,36.0,1,brute_force+connection_burst
113.114.1.68,2013-11-02 20:40:00,2013-11-02 20:40:14,2013-11-02 20:40:14,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.114.1.68,2013-11-02 21:10:00,2013-11-02 21:14:14,2013-11-02 21:14:14,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.114.1.68,2013-11-02 21:40:00,2013-11-02 21:47:37,2013-11-02 21:47:37,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.114.1.68,2013-11-02 22:20:00,2013-11-02 22:20:57,2013-11-02 22:20:57,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.114.1.68,2013-11-02 22:50:00,2013-11-02 22:54:17,2013-11-02 22:54:17,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
113.147.154.95,2013-12-30 14:50:00,2013-12-30 14:59:57,2013-12-30 14:59:59,0,1,1,0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,0,low_activity
113.147.154.95,2013-12-30 15:00:00,2013-12-30 15:00:01,2013-12-30 15:04:07,0,50,50,24,0,0,0,1,0,50,1.0,0.32432432432432434,0.0,0.0,12.195121951219512,1,brute_force+user_enumeration
113.147.154.95,2013-12-30 15:50:00,2013-12-30 15:59:54,2013-12-30 15:59:58,2,1,0,0,0,0,0,1,1,2,1.0,0.0,0.0,0.0,3.0,0,low_activity
113.147.154.95,2013-12-30 16:00:00,2013-12-30 16:00:00,2013-12-30 16:03:15,49,50,0,0,0,0,0,16,49,50,1.0,0.0,0.0,0.0,30.46153846153846,1,brute_force+user_enumeration+connection_burst
113.180.1.70,2013-12-06 08:40:00,2013-12-06 08:44:28,2013-12-06 08:44:35,0,2,2,2,0,0,0,1,0,2,1.0,0.5,0.0,0.0,2.0,0,low_activity
113.180.1.70,2013-12-06 09:40:00,2013-12-06 09:40:35,2013-12-06 09:45:05,13,14,4,4,0,0,0,3,2,17,1.0,0.2222222222222222,0.0,0.0,6.0,1,brute_force+user_enumeration+connection_burst
113.180.1.70,2013-12-06 11:30:00,2013-12-06 11:35:33,2013-12-06 11:35:41,0,2,2,2,0,0,0,1,0,2,1.0,0.5,0.0,0.0,2.0,0,low_activity
113.180.1.70,2013-12-06 12:30:00,2013-12-06 12:31:40,2013-12-06 12:36:11,14,16,4,4,0,0,0,3,2,18,1.0,0.2,0.0,0.0,6.642066420664206,1,brute_force+user_enumeration+connection_burst
113.180.1.70,2013-12-08 11:30:00,2013-12-08 11:32:29,2013-12-08 11:37:04,10,12,4,4,0,0,0,3,2,14,1.0,0.25,0.0,0.0,4.800000000000001,1,brute_force+user_enumeration
113.180.1.70,2013-12-09 21:40:00,2013-12-09 21:45:10,2013-12-09 21:45:19,0,2,2,2,0,0,0,1,0,2,1.0,0.5,0.0,0.0,2.0,0,low_activity
113.180.1.70,2013-12-09 22:40:00,2013-12-09 22:41:01,2013-12-09 22:45:45,10,10,3,2,0,0,0,3,2,13,1.0,0.16666666666666666,0.0,0.0,4.225352112676056,1,brute_force
113.180.1.70,2013-12-10 17:00:00,2013-12-10 17:07:56,2013-12-10 17:08:03,0,2,2,2,0,0,0,1,0,2,1.0,0.5,0.0,0.0,2.0,0,low_activity
113.180.1.70,2013-12-10 18:00:00,2013-12-10 18:03:15,2013-12-10 18:08:10,10,12,4,4,0,0,0,3,2,14,1.0,0.25,0.0,0.0,4.47457627118644,1,brute_force+user_enumeration
113.208.79.101,2013-11-29 01:30:00,2013-11-29 01:33:19,2013-11-29 01:39:59,225,298,80,34,1,0,0,27,76,303,0.9966555183946488,0.10240963855421686,0.0,0.002638522427440633,78.45,1,brute_force+user_enumeration+connection_burst
113.208.79.101,2013-11-29 01:40:00,2013-11-29 01:40:00,2013-11-29 01:49:59,533,670,141,109,0,0,0,58,168,668,1.0,0.1399229781771502,0.0,0.0,120.50083472454091,1,brute_force+user_enumeration+connection_burst
113.208.79.101,2013-11-29 01:50:00,2013-11-29 01:50:00,2013-11-29 01:57:26,381,456,78,21,0,0,0,21,130,454,1.0,0.0440251572327044,0.0,0.0,112.60089686098654,1,brute_force+user_enumeration+connection_burst
113.210.112.90,2013-12-10 11:00:00,2013-12-10 11:00:46,2013-12-10 11:09:05,0,171,57,0,0,0,0,1,0,57,1.0,0.0,0.0,0.0,20.561122244488978,1,brute_force
113.7.28.140,2013-12-22 20:50:00,2013-12-22 20:57:16,2013-12-22 20:57:16,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,low_activity
114.100.29.140,2013-12-23 07:00:00,2013-12-23 07:03:08,2013-12-23 07:03:08,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,low_activity
